Cost Category,One-time Cost,Annual Cost,Notes
Structure & Frame,$25000,$500,Basic greenhouse structure
Heating System,$8000,$3200,Gas heating system
Cooling/Ventilation,$6000,$800,Exhaust fans and vents
Irrigation System,$3500,$200,Drip irrigation setup
Electrical,$4000,$1200,Lighting and power distribution
Benches & Shelving,$2000,$100,Growing benches
Control Systems,$1500,$300,Environmental controls
Tools & Equipment,$1000,$200,Hand tools and supplies
Initial Plants/Seeds,$500,$2000,First crop investment
Labor - Setup,$3000,$0,Installation labor
Insurance,$0,$1200,Business insurance
Utilities Connection,$1500,$0,Gas electric water hookup
Total Initial Investment,$52000,$8700,First year total costs
